SCALLING_GOVERNOR,SCALLING_GOVERNORS.PERFORMANCE,MAX_FREQ,2000000,MIN_FREQ,1000000,MAX_THREADS,200,NUM_CPUS,1,THINK_TIME,10000000,AVG_SERVICE_TIME,80000,QUANTA_BURST_TIME,2000000,AVG_INTERARRIVAL_TIME,100000
TIMEOUT,2000000,SIMULATION_TIME,300000000,CTX_SWITCH_OVERHEAD,1000,MAX_QUEUE_SIZE,2000,RETRY_PROB,0.5,RETRY_DELAY,5000,SCHEDULER,ROUNDROBIN,SERVICE_TIME_DIST,EXPONENTIAL
NUM_USERS,RESPONSE_TIMES_RUN_1,RESPONSE_TIMES_RUN_2,RESPONSE_TIMES_RUN_3,RESPONSE_TIMES_RUN_4,RESPONSE_TIMES_RUN_5,RESPONSE_TIMES_RUN_6,RESPONSE_TIMES_RUN_7,RESPONSE_TIMES_RUN_8,RESPONSE_TIMES_RUN_9,RESPONSE_TIMES_RUN_10,GOODPUT_RUN_1,GOODPUT_RUN_2,GOODPUT_RUN_3,GOODPUT_RUN_4,GOODPUT_RUN_5,GOODPUT_RUN_6,GOODPUT_RUN_7,GOODPUT_RUN_8,GOODPUT_RUN_9,GOODPUT_RUN_10,BADPUT_RUN_1,BADPUT_RUN_2,BADPUT_RUN_3,BADPUT_RUN_4,BADPUT_RUN_5,BADPUT_RUN_6,BADPUT_RUN_7,BADPUT_RUN_8,BADPUT_RUN_9,BADPUT_RUN_10,DROP_RATE_RUN_1,DROP_RATE_RUN_2,DROP_RATE_RUN_3,DROP_RATE_RUN_4,DROP_RATE_RUN_5,DROP_RATE_RUN_6,DROP_RATE_RUN_7,DROP_RATE_RUN_8,DROP_RATE_RUN_9,DROP_RATE_RUN_10,UTIL_RUN_1,UTIL_RUN_2,UTIL_RUN_3,UTIL_RUN_4,UTIL_RUN_5,UTIL_RUN_6,UTIL_RUN_7,UTIL_RUN_8,UTIL_RUN_9,UTIL_RUN_10,AVG_QUEUE_LEN_RUN_1,AVG_QUEUE_LEN_RUN_2,AVG_QUEUE_LEN_RUN_3,AVG_QUEUE_LEN_RUN_4,AVG_QUEUE_LEN_RUN_5,AVG_QUEUE_LEN_RUN_6,AVG_QUEUE_LEN_RUN_7,AVG_QUEUE_LEN_RUN_8,AVG_QUEUE_LEN_RUN_9,AVG_QUEUE_LEN_RUN_10,QUEUE_WAIT_RUN_1,QUEUE_WAIT_RUN_2,QUEUE_WAIT_RUN_3,QUEUE_WAIT_RUN_4,QUEUE_WAIT_RUN_5,QUEUE_WAIT_RUN_6,QUEUE_WAIT_RUN_7,QUEUE_WAIT_RUN_8,QUEUE_WAIT_RUN_9,QUEUE_WAIT_RUN_10
15,0.07096291685393259,0.07409313507625273,0.07416762745098039,0.0725291230425056,0.08078677631578948,0.0654755238095238,0.07793895434782609,0.08149680659340659,0.10322076444444445,0.07555064977973569,1.4833333333333332,1.53,1.53,1.49,1.5166666666666666,1.54,1.5333333333333334,1.5166666666666666,1.4933333333333334,1.5133333333333334,0.0,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08797638283449201,0.09069449257293725,0.09251224815096655,0.08836534249201726,0.08908722695625683,0.09292123208904497,0.09188725921197546,0.09309132009724534,0.09701329528911595,0.08659457169647307,0.0853932584269663,0.06753812636165578,0.08061002178649238,0.1342281879194631,0.18421052631578946,0.04112554112554113,0.12391304347826088,0.14945054945054945,0.2111111111111111,0.20484581497797358,0.008262570786516854,0.013150816993464052,0.009626305010893246,0.01158511856823266,0.016321866228070175,0.004363199134199134,0.013799004347826088,0.015198408791208791,0.03752085555555556,0.016455530837004403
30,0.0920699294512878,0.10219360572687225,0.08955399779735683,0.09761668876404495,0.11431944861878453,0.09003973326015367,0.10042271537622682,0.10372775498891353,0.12230051950947603,0.09572953142227122,2.976666666666667,3.016666666666667,3.026666666666667,2.9666666666666663,2.976666666666667,3.0366666666666666,3.05,2.986666666666667,2.9466666666666668,3.016666666666667,0.0,0.01,0.0,0.0,0.04,0.0,0.006666666666666667,0.02,0.04333333333333333,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18641836918743726,0.18311757299142872,0.1872331078363404,0.1784172282664239,0.18306836093953222,0.1788713675787162,0.18768681277504626,0.1781254313445459,0.1879088796269263,0.17712105470024608,0.2889137737961926,0.31057268722466963,0.3314977973568282,0.4584269662921348,0.39779005524861877,0.3896816684961581,0.346782988004362,0.43237250554323725,0.443701226309922,0.4564498346196251,0.020192503919372898,0.029853925110132157,0.02006252643171806,0.031095539325842695,0.03967353259668508,0.022263804610318332,0.0299690239912759,0.03466621286031042,0.051890463768115944,0.032326615214994484
45,0.12689821882001495,0.11865237241887905,0.11768547870778268,0.11374302007434943,0.14043647263313608,0.11336596605166052,0.12363014358974359,0.13150231838235293,0.1450472232142857,0.1174841098820059,4.433333333333333,4.486666666666666,4.51,4.46,4.4399999999999995,4.493333333333333,4.516666666666667,4.476666666666667,4.4,4.48,0.03,0.03333333333333333,0.03,0.023333333333333334,0.06666666666666667,0.023333333333333334,0.03333333333333333,0.056666666666666664,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2758841955480653,0.2694556858059335,0.27387107726224125,0.2621574916030956,0.27845137157807537,0.2652275052876466,0.2791741959408103,0.2755710511861042,0.2811367862387344,0.2658058001527116,0.700522778192681,0.6666666666666666,0.7187958883994127,0.7420074349442379,0.639792899408284,0.7055350553505535,0.6879120879120879,0.7316176470588235,0.7433035714285714,0.6917404129793511,0.05100668782673637,0.04774995353982301,0.045915687958884,0.04650962156133829,0.060020400147929,0.041860873062730626,0.04957078754578755,0.058292586029411765,0.07394007589285714,0.050615026548672566
60,0.14325838817624093,0.1417082559425097,0.15038328951747088,0.14377214103275957,0.1653919849498328,0.1419362389135255,0.14286586589403974,0.15889340468227423,0.16426766053511707,0.13688940419657647,5.906666666666666,5.946666666666666,5.916666666666667,5.8966666666666665,5.876666666666667,5.953333333333334,5.963333333333334,5.8933333333333335,5.863333333333333,5.956666666666667,0.07,0.08333333333333334,0.09333333333333334,0.10666666666666667,0.10333333333333333,0.06,0.07666666666666666,0.08666666666666666,0.11666666666666667,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3622692659083415,0.3574754106696375,0.3754506267276907,0.3484169683668308,0.3660905359625465,0.3553106195199076,0.3714050514287714,0.3627154604518135,0.370301158162626,0.35104101428388584,0.9698828778583379,1.0127142067440575,1.0404880754298391,1.0316490838423098,0.9297658862876255,1.103658536585366,0.9928256070640177,1.065217391304348,1.0518394648829432,1.023191606847046,0.06306058003346347,0.0681402957435047,0.07138809595119246,0.07578862076624097,0.07848215273132664,0.06302195787139689,0.06425438134657836,0.08394031995540692,0.09226565384615384,0.06724986140254004
75,0.18029740196956132,0.173866503113879,0.1792079402052655,0.17621436351411923,0.19912316035634745,0.1707441219946572,0.18186473554083885,0.18836602358700488,0.20530798838248435,0.16485454541426672,7.296666666666667,7.353333333333333,7.326666666666666,7.283333333333333,7.333333333333333,7.366666666666667,7.406666666666666,7.359999999999999,7.293333333333334,7.3933333333333335,0.15,0.14,0.14333333333333334,0.15333333333333332,0.15,0.12,0.14333333333333334,0.13,0.16666666666666669,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45317710503306147,0.4397153547764187,0.47180744913361344,0.434271909100001,0.45998756928777357,0.4417134188342949,0.4584680970203865,0.45367614263589484,0.4683776343411252,0.4360147572607186,1.3495971351835272,1.3887900355871887,1.3815261044176708,1.4298520842671447,1.2521158129175947,1.4220837043633126,1.3509933774834437,1.3836226079216734,1.4110813226094727,1.328311918475853,0.09488899865711728,0.09079717793594307,0.09479220660419455,0.09878345898700135,0.10477370556792873,0.08526681923419412,0.09293814437086093,0.1052533943035158,0.12418896961572833,0.09225170934869295
90,0.22086776957662047,0.20632950296956198,0.22880747327102804,0.2037917624206201,0.22479080387048753,0.20496328320895524,0.21745324241302738,0.2178669605654762,0.24688463609135156,0.20642721155983698,8.686666666666666,8.783333333333333,8.716666666666667,8.723333333333333,8.760000000000002,8.756666666666668,8.823333333333334,8.773333333333333,8.69,8.813333333333333,0.21,0.19666666666666666,0.19999999999999998,0.19999999999999998,0.19666666666666666,0.17666666666666667,0.18333333333333332,0.18666666666666668,0.21333333333333335,0.18333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5391917019252328,0.5311646053856368,0.5628921469391986,0.5197449989725037,0.5533282232182315,0.5297137730816551,0.5544761514780907,0.5437771742369077,0.5561408153601303,0.5273630872949261,1.7718246534282502,1.7802524127691166,1.765607476635514,1.72954800149421,1.5325641979903237,1.7690298507462687,1.7927461139896372,1.7488839285714286,1.8180456757768626,1.8065950351982216,0.13037333345822405,0.12114028359317001,0.13520654130841123,0.11355772842734405,0.12593149572013398,0.1142022052238806,0.12201788045891931,0.13055635267857144,0.15373003594159493,0.11968658132641719
105,0.26358385286542174,0.25285316570697375,0.28489419075144506,0.23870219808,0.2723576972124319,0.23893254245434153,0.28283769680511184,0.26183893693982074,0.28679816891891896,0.25365198148739226,10.096666666666666,10.183333333333334,10.126666666666667,10.176666666666668,10.173333333333334,10.163333333333334,10.203333333333333,10.193333333333333,10.076666666666666,10.196666666666667,0.25666666666666665,0.23666666666666666,0.2533333333333333,0.24,0.22999999999999998,0.24,0.22999999999999998,0.22,0.2833333333333334,0.24666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6227984802935961,0.627625467887447,0.6520318275958542,0.6088526376762297,0.6433800639703884,0.6199852749934994,0.6459957797810526,0.6287275185482589,0.646365589051521,0.6172726533228236,2.1796522858982614,2.2092130518234163,2.1689145793192037,2.16832,2.0387696251201537,2.170458186478693,2.28370607028754,2.1680537772087067,2.213642213642214,2.216406000638366,0.15429837025112686,0.14325192354446578,0.1692264434810533,0.13847285568,0.1522724210189042,0.1309363005446972,0.1530340450479233,0.1534290675416133,0.1823779005791506,0.14745941110756464
120,0.31744590116114413,0.3012710719101123,0.3403335240112994,0.3112937097774021,0.33707336409679234,0.28880430725783673,0.32252188327721665,0.31289892820945947,0.3300497038189533,0.2944220819534101,11.473333333333334,11.576666666666666,11.5,11.516666666666666,11.559999999999999,11.53,11.616666666666667,11.566666666666666,11.453333333333333,11.590000000000002,0.29666666666666663,0.29,0.3,0.31333333333333335,0.2866666666666667,0.2733333333333334,0.2633333333333333,0.2733333333333334,0.33,0.2866666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7107831588057449,0.7112462445999722,0.7380053517581077,0.6955950485567123,0.7290572514617776,0.7061828107287608,0.7347820333414629,0.7210577777128775,0.7313201628627618,0.7003238987761407,2.598980458793543,2.648876404494382,2.611864406779661,2.6866723020569174,2.5053460889138996,2.6390850042360916,2.7306397306397305,2.588119369369369,2.592644978783593,2.593039573393208,0.18693512092891534,0.17147673876404496,0.19262670734463277,0.17006512256973796,0.18562975773776025,0.15623181022310081,0.17714357182940518,0.17453352730855856,0.21049931824611032,0.1725474254841426
135,0.41203940598832783,0.37272675365239294,0.43337028354045143,0.381578548989899,0.4391657842690946,0.34072340191628847,0.4443138996461072,0.376096309553819,0.4670365976572447,0.3521474915976925,12.78,12.903333333333334,12.74,12.83,12.809999999999999,12.91,12.733333333333334,12.896666666666667,12.62,12.946666666666667,0.35666666666666663,0.33,0.4033333333333333,0.37,0.37,0.31,0.4533333333333333,0.32666666666666666,0.47,0.3433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7934495243312746,0.7915423658250844,0.8169505859045312,0.7783527148844445,0.8072983297389494,0.7843374942127702,0.8169637392312216,0.8040124569980697,0.8189590344443888,0.7840395160323381,3.1748287236741946,3.1554156171284635,3.2150646715698707,3.1166666666666667,3.115073343449671,3.031770045385779,3.149393326592518,3.0403327451474667,3.316526610644258,2.985201906195134,0.21549805810707942,0.1970676274559194,0.2256005952320568,0.19521378156565655,0.2189987321699545,0.17989194478063542,0.19773975252780587,0.2071646750693219,0.25526288209829384,0.1944767830448959
150,0.5315346131487889,0.5127573766651355,0.6079909907235622,0.4902960657320157,0.6050777647195179,0.48608863786764706,0.6335132874653099,0.5046579492420763,0.6331862787075778,0.48142580585410477,13.903333333333332,13.926666666666666,13.64,14.0,13.74,13.946666666666667,13.563333333333333,14.006666666666666,13.626666666666667,14.116666666666667,0.5466666666666667,0.5866666666666667,0.7333333333333333,0.5033333333333333,0.64,0.56,0.85,0.5066666666666666,0.7133333333333333,0.45999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8740746609799341,0.871461237074952,0.8954940194662584,0.8602728096530803,0.8729098168994665,0.8594693661955192,0.8908172863885627,0.881743084245111,0.8941752257572662,0.8580163014201458,3.6343713956170705,3.681212677997244,3.7680890538033394,3.66697310962997,3.778164116828929,3.6105238970588234,3.7740518038852913,3.6249425815342216,3.9786145978614598,3.650354447747542,0.2413286237600923,0.22076512057877812,0.2555782806122449,0.2270425617099517,0.25698508344923504,0.21909123207720588,0.2333549040240518,0.23811283601286176,0.29303582287308233,0.2516023560484793
