SCALLING_GOVERNOR,SCALLING_GOVERNORS.POWERSAVE,MAX_FREQ,2000000,MIN_FREQ,1000000,MAX_THREADS,200,NUM_CPUS,1,THINK_TIME,10000000,AVG_SERVICE_TIME,80000,QUANTA_BURST_TIME,2000000,AVG_INTERARRIVAL_TIME,100000
TIMEOUT,2000000,SIMULATION_TIME,300000000,CTX_SWITCH_OVERHEAD,1000,MAX_QUEUE_SIZE,2000,RETRY_PROB,0.5,RETRY_DELAY,5000,SCHEDULER,ROUNDROBIN,SERVICE_TIME_DIST,EXPONENTIAL
NUM_USERS,RESPONSE_TIMES_RUN_1,RESPONSE_TIMES_RUN_2,RESPONSE_TIMES_RUN_3,RESPONSE_TIMES_RUN_4,RESPONSE_TIMES_RUN_5,RESPONSE_TIMES_RUN_6,RESPONSE_TIMES_RUN_7,RESPONSE_TIMES_RUN_8,RESPONSE_TIMES_RUN_9,RESPONSE_TIMES_RUN_10,GOODPUT_RUN_1,GOODPUT_RUN_2,GOODPUT_RUN_3,GOODPUT_RUN_4,GOODPUT_RUN_5,GOODPUT_RUN_6,GOODPUT_RUN_7,GOODPUT_RUN_8,GOODPUT_RUN_9,GOODPUT_RUN_10,BADPUT_RUN_1,BADPUT_RUN_2,BADPUT_RUN_3,BADPUT_RUN_4,BADPUT_RUN_5,BADPUT_RUN_6,BADPUT_RUN_7,BADPUT_RUN_8,BADPUT_RUN_9,BADPUT_RUN_10,DROP_RATE_RUN_1,DROP_RATE_RUN_2,DROP_RATE_RUN_3,DROP_RATE_RUN_4,DROP_RATE_RUN_5,DROP_RATE_RUN_6,DROP_RATE_RUN_7,DROP_RATE_RUN_8,DROP_RATE_RUN_9,DROP_RATE_RUN_10,UTIL_RUN_1,UTIL_RUN_2,UTIL_RUN_3,UTIL_RUN_4,UTIL_RUN_5,UTIL_RUN_6,UTIL_RUN_7,UTIL_RUN_8,UTIL_RUN_9,UTIL_RUN_10,AVG_QUEUE_LEN_RUN_1,AVG_QUEUE_LEN_RUN_2,AVG_QUEUE_LEN_RUN_3,AVG_QUEUE_LEN_RUN_4,AVG_QUEUE_LEN_RUN_5,AVG_QUEUE_LEN_RUN_6,AVG_QUEUE_LEN_RUN_7,AVG_QUEUE_LEN_RUN_8,AVG_QUEUE_LEN_RUN_9,AVG_QUEUE_LEN_RUN_10,QUEUE_WAIT_RUN_1,QUEUE_WAIT_RUN_2,QUEUE_WAIT_RUN_3,QUEUE_WAIT_RUN_4,QUEUE_WAIT_RUN_5,QUEUE_WAIT_RUN_6,QUEUE_WAIT_RUN_7,QUEUE_WAIT_RUN_8,QUEUE_WAIT_RUN_9,QUEUE_WAIT_RUN_10
15,0.15539555,0.1574965452538631,0.1656069050772627,0.1593659524886878,0.16952529933481153,0.14937059956236323,0.17020080659340658,0.17537837694013306,0.22261600900900902,0.1561490884955752,1.4666666666666666,1.51,1.5066666666666668,1.4733333333333334,1.4833333333333332,1.5233333333333332,1.51,1.4866666666666666,1.4433333333333334,1.5066666666666668,0.0,0.0,0.0033333333333333335,0.0,0.02,0.0,0.006666666666666667,0.016666666666666666,0.03666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17312282527934264,0.17928952768009646,0.183238210893437,0.17333339006846513,0.17663476888107668,0.18528189854090626,0.18245014353912506,0.18434888993994425,0.1918737418141298,0.17219474813141822,0.15,0.09933774834437085,0.16335540838852097,0.19004524886877827,0.21729490022172948,0.12472647702407003,0.1912087912087912,0.1662971175166297,0.23873873873873874,0.22566371681415928,0.029212175,0.03492073509933775,0.036146653421633555,0.03720414027149321,0.04271590687361419,0.023491610503282273,0.042972646153846154,0.042543911308203994,0.08961743243243242,0.04083338274336283
30,0.2194057120181406,0.24979944407158836,0.22670012682379348,0.22938767349260525,0.25862966778900115,0.23214594983277592,0.24913940399556048,0.2502626524184477,0.2741373600451467,0.23410658482142857,2.9166666666666665,2.933333333333333,2.9433333333333334,2.8766666666666665,2.9066666666666667,2.9566666666666666,2.9633333333333334,2.9166666666666665,2.8833333333333333,2.94,0.023333333333333334,0.04666666666666667,0.02666666666666667,0.05333333333333334,0.06333333333333332,0.03333333333333333,0.04,0.04666666666666667,0.07,0.04666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3653276811108743,0.3595675508969664,0.36711500939656194,0.350163874717518,0.3561858302902863,0.35435379355250574,0.37238828210371583,0.34921842266185155,0.3715991002023163,0.35148168891726256,0.4342403628117914,0.5335570469798657,0.5185185185185185,0.5938566552901023,0.5499438832772167,0.5908584169453734,0.537180910099889,0.5601799775028121,0.54627539503386,0.5982142857142857,0.07166293537414967,0.10244384899328858,0.08268846913580247,0.09855704664391353,0.11721089001122334,0.09435732329988852,0.09627887125416205,0.1118182429696288,0.13109187358916477,0.10620974776785715
45,0.3332868097784568,0.31452580870217556,0.32785103533834586,0.3110660128983308,0.36537645351473924,0.30456996000000003,0.3380137229275579,0.3251484604370761,0.39427169465648854,0.3287803127819549,4.26,4.34,4.32,4.293333333333334,4.279999999999999,4.333333333333333,4.3533333333333335,4.316666666666666,4.23,4.32,0.10333333333333333,0.10333333333333333,0.11333333333333333,0.09999999999999999,0.13,0.08333333333333334,0.11,0.10666666666666667,0.1366666666666667,0.11333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5378051122194926,0.5314053082594896,0.5364877900474836,0.5159379605030855,0.5469235431148739,0.5162289292726076,0.5480547746823154,0.5394349643146291,0.5509552917382817,0.5201489092411387,1.0359052711993888,0.9894973743435859,1.0819548872180451,1.039453717754173,0.9614512471655329,1.0067924528301886,1.0268857356235996,0.9773926149208741,1.0442748091603054,1.093233082706767,0.16256372268907562,0.15717588297074267,0.15251558270676693,0.15774814339908952,0.191233768707483,0.1448432528301887,0.1656788431665422,0.1728117784476262,0.2118827961832061,0.17016033684210527
60,0.47554985040276176,0.4357325219373219,0.4777165559360731,0.42926367200000004,0.5270188554077501,0.4507095706117782,0.46475452589641436,0.45503707089765577,0.49800848615916954,0.4547142904328018,5.553333333333334,5.696666666666666,5.656666666666667,5.640000000000001,5.506666666666667,5.6433333333333335,5.636666666666667,5.633333333333334,5.566666666666667,5.65,0.24,0.15333333333333332,0.18333333333333332,0.19333333333333336,0.25666666666666665,0.18666666666666668,0.22,0.19666666666666666,0.21333333333333335,0.20333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7063235911471777,0.6934526556684846,0.7260472348111129,0.6780365513387083,0.7098004223132991,0.6955101238278492,0.7216920854993227,0.7120255658120521,0.7174519804967231,0.6786074077778158,1.694476409666283,1.5897435897435896,1.6004566210045663,1.584,1.593984962406015,1.6392224128073185,1.512805919180421,1.5494568324757003,1.5668973471741638,1.6765375854214124,0.23864263118527043,0.23270187464387465,0.24754978025114155,0.23918714457142856,0.263818013302487,0.22622750600343053,0.22104984006829825,0.25403064722698687,0.2744027116493656,0.23273644134396354
75,0.8208010457360648,0.6774248151260504,0.7860746767343086,0.6398160494633691,0.8456497175463623,0.7359794910881801,0.8153771312941177,0.7388017114661654,0.8741323581661892,0.7375017785580523,6.21,6.64,6.296666666666667,6.7700000000000005,6.319999999999999,6.42,6.2666666666666675,6.47,6.206666666666667,6.543333333333333,0.7866666666666666,0.5,0.7666666666666667,0.37333333333333335,0.69,0.6866666666666666,0.8166666666666667,0.6233333333333333,0.7733333333333334,0.5766666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8566400082121637,0.8464988878059453,0.8873497912993832,0.833033004248666,0.8682646663326634,0.8420662981439271,0.866526705219282,0.8618516137317992,0.8813244789414068,0.8352797267228358,2.3449261553120535,2.4239028944911296,2.3902784332232185,2.2435837610825944,2.2700903471231575,2.5361163227016887,2.3896470588235292,2.3115601503759398,2.4350525310410696,2.3909176029962547,0.34204565364459266,0.3235548870214752,0.329507794714488,0.3117611311245917,0.346718373276272,0.3169795487804878,0.33152366635294117,0.3455068472744361,0.3998390401146132,0.3291558459737828
90,1.5226660527203713,1.310152346551012,1.813203777729823,1.2315811049382717,1.681343735607676,1.3421756479400748,1.6981785265392781,1.499050316561845,1.7678774959104606,1.2720293225143797,5.386666666666667,6.013333333333333,4.676666666666667,6.22,4.826666666666666,5.756666666666667,4.756666666666666,5.463333333333333,4.703333333333333,6.14,2.5166666666666666,2.0566666666666666,3.0466666666666664,1.88,2.99,2.2533333333333334,3.0933333333333337,2.486666666666667,3.04,1.9733333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9624735141542924,0.9588321816322003,0.9817960455592382,0.9469179748817179,0.9694307935426848,0.951385460565162,0.9613069222375509,0.9738904714907145,0.9782934006174441,0.9564926147233581,3.2846900042176297,3.409748038000826,3.560207164436772,3.1362139917695475,3.3449893390191896,3.2205576362879733,3.337579617834395,3.179035639412998,3.4735256134309083,3.391536565324569,0.4494344584563475,0.43136550309789345,0.47504665602071644,0.4052885111111111,0.4550992963752665,0.40343510778193925,0.4348681736730361,0.4322142758909853,0.5062408618166164,0.41776778512736235
105,2.9140747645858833,2.6646622827640987,3.4997771604414263,2.501815731525157,3.205613188538206,2.67719664966122,3.10785186187168,3.082219838367347,3.4083496700294242,2.600734563263697,2.4966666666666666,2.67,1.5066666666666668,3.04,1.7666666666666668,2.91,2.1933333333333334,1.95,1.4633333333333332,2.92,5.673333333333333,5.723333333333334,6.346666666666667,5.4399999999999995,6.26,5.453333333333333,5.963333333333334,6.216666666666667,6.466666666666667,5.536666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983314300205982,0.9980227960913334,0.9999976008964491,0.992839609810411,0.9999987678495147,0.9961737397070013,0.9999902069292836,0.9964996342758023,0.9999894783426243,0.9984961864899274,4.199102407180742,4.117553613979348,4.355263157894737,3.97562893081761,4.2944352159468435,4.170984455958549,4.612586841029833,4.139591836734694,4.416141235813367,3.9420575482853764,0.5400542884536923,0.4839772629070691,0.5835192317487267,0.47949393710691823,0.5369330739202658,0.4891173276205659,0.559690228851655,0.51839604,0.6190426376628836,0.48277628537642886
120,4.711600026851098,4.400620780816488,5.382768974108659,4.148356232240437,5.0382276179401995,4.389625043737574,4.919915513061224,4.846579689991864,5.2805461719209745,4.331542942958301,0.51,0.6166666666666667,0.25666666666666665,0.83,0.31,0.8066666666666666,0.45666666666666667,0.5033333333333333,0.20333333333333334,0.58,7.683333333333334,7.793333333333334,7.596666666666667,7.710000000000001,7.716666666666667,7.576666666666666,7.710000000000001,7.6899999999999995,7.726666666666667,7.893333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999977468192518,0.9999995733488549,0.9999976008964491,0.9999983867390375,0.9999987678495147,0.9999934427080086,0.9999902012362121,0.9999993333457375,0.9999894738461675,0.999997387407859,5.063873067534581,4.850971066191042,5.342105263157895,4.828259172521467,5.3313953488372094,5.068389662027833,5.330612244897959,5.192839707078926,5.314838167297184,4.84618410700236,0.6375994503661513,0.5560501379310344,0.6742045589983022,0.5669410604996097,0.6663453941029901,0.5679981666003977,0.6142386159183674,0.6001630947925142,0.7261702971836906,0.5701240287175452
135,6.515605041140529,6.149809298176051,7.252272764106915,5.8770289574551136,6.861714643687708,6.135238541550696,6.720698692653061,6.649471456724908,7.136111490962589,6.075259082644628,0.1366666666666667,0.15666666666666668,0.09,0.18333333333333332,0.11666666666666667,0.21333333333333335,0.14333333333333334,0.16333333333333333,0.07333333333333333,0.13333333333333333,8.046666666666667,8.25,7.766666666666667,8.356666666666667,7.91,8.17,8.023333333333333,8.04,7.856666666666667,8.336666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999977455576263,0.9999995734554005,0.9999976014771623,0.9999983867390375,0.9999987678495147,0.9999934427080086,0.9999982583138953,0.9999993336213533,0.9999995368280219,0.9999973868503101,6.168635437881874,5.7934179222839015,6.562579550275775,5.765417642466823,6.684800664451827,6.47037773359841,5.85061224489796,6.460381958553434,6.316939890710382,5.924832743014561,0.7525800916496945,0.6343127605075337,0.7783123725074247,0.6569173528493365,0.7938513397009966,0.7023570787276342,0.6557934693877552,0.7366032641202763,0.84106405296343,0.6798706564344746
150,8.308770935207825,7.894686685295284,9.103042709800594,7.59766869086651,8.67769442857143,7.870168051710421,8.517870174214607,8.437356887759252,8.977489412111018,7.804428565867086,0.07333333333333333,0.08333333333333334,0.06666666666666667,0.07666666666666666,0.056666666666666664,0.09666666666666668,0.07666666666666666,0.07666666666666666,0.04666666666666667,0.04666666666666667,8.106666666666666,8.326666666666666,7.79,8.463333333333333,7.97,8.283333333333333,8.093333333333332,8.120000000000001,7.880000000000001,8.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999977442907692,0.9999995733863614,0.9999976014771623,0.9999983867390375,0.9999987678495147,0.999993440464918,0.9999982602258213,0.9999993333801123,0.9999995371954933,0.9999973866680779,7.71801140994295,7.682520808561237,8.096733135341536,6.905542544886807,7.880398671096345,8.22513922036595,7.335373317013464,7.827165514436763,7.899495374264087,7.615021627998427,0.8835071825590872,0.7873256753864447,0.9140538018667798,0.7504045238095238,0.9062151843853821,0.8760536821797932,0.7830157409220727,0.8518674310695404,0.9856533915054668,0.8841795100275265
