CLOCKS_PER_SEC,1000000,MAX_THREADS,200,NUM_CPUS,1,THINK_TIME,10000000,AVG_SERVICE_TIME,80000,QUANTA_BURST_TIME,20000,AVG_INTERARRIVAL_TIME,100000
TIMEOUT,2000000,SIMULATION_TIME,300000000,CTX_SWITCH_OVERHEAD,1000,MAX_QUEUE_SIZE,2000,RETRY_PROB,0.5,RETRY_DELAY,5000,SCHEDULER,ROUNDROBIN,SERVICE_TIME_DIST,CONSTANT
NUM_USERS,RESPONSE_TIMES_RUN_1,RESPONSE_TIMES_RUN_2,RESPONSE_TIMES_RUN_3,RESPONSE_TIMES_RUN_4,RESPONSE_TIMES_RUN_5,RESPONSE_TIMES_RUN_6,RESPONSE_TIMES_RUN_7,RESPONSE_TIMES_RUN_8,RESPONSE_TIMES_RUN_9,RESPONSE_TIMES_RUN_10,GOODPUT_RUN_1,GOODPUT_RUN_2,GOODPUT_RUN_3,GOODPUT_RUN_4,GOODPUT_RUN_5,GOODPUT_RUN_6,GOODPUT_RUN_7,GOODPUT_RUN_8,GOODPUT_RUN_9,GOODPUT_RUN_10,BADPUT_RUN_1,BADPUT_RUN_2,BADPUT_RUN_3,BADPUT_RUN_4,BADPUT_RUN_5,BADPUT_RUN_6,BADPUT_RUN_7,BADPUT_RUN_8,BADPUT_RUN_9,BADPUT_RUN_10,DROP_RATE_RUN_1,DROP_RATE_RUN_2,DROP_RATE_RUN_3,DROP_RATE_RUN_4,DROP_RATE_RUN_5,DROP_RATE_RUN_6,DROP_RATE_RUN_7,DROP_RATE_RUN_8,DROP_RATE_RUN_9,DROP_RATE_RUN_10,UTIL_RUN_1,UTIL_RUN_2,UTIL_RUN_3,UTIL_RUN_4,UTIL_RUN_5,UTIL_RUN_6,UTIL_RUN_7,UTIL_RUN_8,UTIL_RUN_9,UTIL_RUN_10,AVG_QUEUE_LEN_RUN_1,AVG_QUEUE_LEN_RUN_2,AVG_QUEUE_LEN_RUN_3,AVG_QUEUE_LEN_RUN_4,AVG_QUEUE_LEN_RUN_5,AVG_QUEUE_LEN_RUN_6,AVG_QUEUE_LEN_RUN_7,AVG_QUEUE_LEN_RUN_8,AVG_QUEUE_LEN_RUN_9,AVG_QUEUE_LEN_RUN_10,QUEUE_WAIT_RUN_1,QUEUE_WAIT_RUN_2,QUEUE_WAIT_RUN_3,QUEUE_WAIT_RUN_4,QUEUE_WAIT_RUN_5,QUEUE_WAIT_RUN_6,QUEUE_WAIT_RUN_7,QUEUE_WAIT_RUN_8,QUEUE_WAIT_RUN_9,QUEUE_WAIT_RUN_10
15,0.1193955033860045,0.12031673788546256,0.120377546875,0.11734343333333333,0.11854678888888888,0.11862932300884957,0.11818261504424778,0.11470568927789936,0.11651018681318681,0.12142736622807017,1.4733333333333334,1.5133333333333334,1.4933333333333334,1.5,1.4966666666666666,1.5,1.5066666666666668,1.5233333333333332,1.5166666666666666,1.5166666666666666,0.0033333333333333335,0.0,0.0,0.0,0.0033333333333333335,0.006666666666666667,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11873171620735859,0.12180819584367467,0.12023009898416086,0.12057234927401074,0.12063004406573982,0.12111813686073931,0.12105197961601104,0.12296459859556481,0.1220921185167541,0.1223525743518023,0.0654627539503386,0.05947136563876652,0.03571428571428571,0.05333333333333334,0.03333333333333333,0.0420353982300885,0.03982300884955752,0.024070021881838075,0.02197802197802198,0.07894736842105263,0.0024970835214446954,0.0021647555066079296,0.0019043325892857143,0.0018967666666666666,0.0018934555555555556,0.001919146017699115,0.002147216814159292,0.0016684901531728664,0.0018684285714285712,0.002387892543859649
30,0.16479404622322436,0.16791343473451328,0.1677717280799112,0.16937808277404923,0.1683764293659622,0.18011966445182723,0.16390308898776418,0.16436975550660793,0.1651305189732143,0.1699101150442478,2.896666666666667,2.9433333333333334,2.936666666666667,2.9033333333333333,2.933333333333333,2.9633333333333334,2.9266666666666663,2.953333333333333,2.9299999999999997,2.953333333333333,0.06,0.07,0.06666666666666667,0.07666666666666666,0.06333333333333332,0.04666666666666667,0.07,0.07333333333333333,0.056666666666666664,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23849235025648416,0.24361452374412845,0.24219950616422722,0.24028669320469104,0.2417144972961717,0.2431364006373771,0.2416179599390249,0.24435384442847088,0.24113241001352537,0.24344090745289707,0.24013528748590757,0.23008849557522124,0.19311875693673697,0.2785234899328859,0.17130144605116795,0.2369878183831672,0.1657397107897664,0.16409691629955947,0.21651785714285715,0.28982300884955753,0.0050646211950394595,0.005155691371681416,0.004472061043285239,0.006044749440715883,0.0046200333704115686,0.005640151716500554,0.004421442714126808,0.004367552863436123,0.004878286830357143,0.006124716814159292
45,0.2260892433862434,0.24128728008915304,0.22144309029850745,0.2186016922498119,0.216743722345954,0.2299845657992565,0.24443803880597015,0.22208786849925705,0.23191742631578946,0.2317970334075724,4.279999999999999,4.35,4.32,4.300000000000001,4.3566666666666665,4.359999999999999,4.33,4.3566666666666665,4.3100000000000005,4.359999999999999,0.13,0.1366666666666667,0.14666666666666667,0.13,0.13333333333333333,0.12333333333333332,0.1366666666666667,0.13,0.12333333333333332,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3571069654461611,0.3640543377957159,0.36186327347328917,0.35872049315536525,0.36322612823621214,0.3635482100969229,0.3619881751040551,0.36338695165414003,0.35941749620039243,0.3636055908746009,0.46107331821617537,0.4524517087667162,0.5194029850746269,0.48758465011286684,0.3994060876020787,0.4877323420074349,0.42313432835820897,0.38558692421991086,0.47593984962406016,0.5092798812175204,0.009507232804232804,0.009481930906389302,0.010265478358208955,0.009565574868322047,0.008425979213066074,0.01013326468401487,0.009255949253731344,0.008148046805349184,0.009830208270676693,0.01036793170007424
60,0.3118877820878494,0.3137514360986547,0.30225862238552853,0.3034985539772727,0.3003441068830442,0.32396318848758465,0.30579009392575923,0.3094203181562676,0.31347549858196255,0.3202462234699607,5.616666666666666,5.6866666666666665,5.676666666666667,5.653333333333333,5.75,5.696666666666666,5.6899999999999995,5.6866666666666665,5.666666666666667,5.683333333333334,0.22666666666666666,0.26,0.22,0.21333333333333335,0.20666666666666667,0.21,0.23666666666666666,0.24333333333333332,0.21,0.2533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47594272095327633,0.48401345919259015,0.48096787770842797,0.4777094592121003,0.485343730971918,0.4819247888674577,0.4824874122591789,0.4826102174943928,0.4787327138768575,0.48360723537863776,0.7096406160867085,0.7001121076233184,0.7580553985302431,0.7846590909090909,0.6412982652490207,0.7895033860045146,0.6827896512935883,0.6245081506464306,0.7124220079410096,0.7344188658057271,0.014000731317741016,0.014780023542600896,0.015408989824759751,0.015970144886363637,0.012636216564073868,0.016956416478555305,0.01459436839145107,0.01311958740865655,0.013910552467385139,0.01522769455362156
75,0.4039449348623853,0.4062918127833182,0.41444252689152233,0.4233673649635037,0.41157616242038214,0.4347899767123288,0.4033166937101185,0.4355488933454877,0.41227201190476187,0.41477574181818183,6.916666666666667,6.993333333333333,6.9766666666666675,6.95,6.993333333333333,6.886666666666667,6.956666666666666,6.91,6.923333333333334,6.996666666666667,0.35,0.36,0.33666666666666667,0.35666666666666663,0.33333333333333337,0.41333333333333333,0.35666666666666663,0.4033333333333333,0.35666666666666663,0.33666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5953145190560271,0.6024268466329764,0.5994681424501382,0.5994107143922176,0.6004669245106512,0.5984341768116266,0.598699433424414,0.5992166636551759,0.5964160572389823,0.6010929887010423,1.0192660550458716,0.9900271985494107,1.0218778486782134,1.042883211678832,0.9563239308462238,1.0333333333333334,0.9863263445761167,0.931175934366454,0.9963369963369964,1.0254545454545454,0.0202325495412844,0.02046225702629193,0.020795307201458522,0.020997383211678832,0.018694451774340308,0.022218287214611873,0.02074832543299909,0.018947708295350956,0.019647011904761903,0.020978014545454546
90,0.5263744186316197,0.5910719742208542,0.5271121178955454,0.5710886111111111,0.5464023504996156,0.5880350874274661,0.5429777265023114,0.6048698534516004,0.5447598493256262,0.5474291593259287,8.153333333333334,8.053333333333333,8.226666666666667,8.1,8.163333333333334,8.076666666666666,8.15,8.03,8.146666666666667,8.183333333333334,0.47,0.61,0.4533333333333333,0.54,0.51,0.54,0.5033333333333333,0.6133333333333333,0.5033333333333333,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7109407538509552,0.7155155269839254,0.7159255750057993,0.7125967366327249,0.7148059041173032,0.7110322975962865,0.7133792216412044,0.7134302617627579,0.7127577809502197,0.7175558345383817,1.315036722071898,1.305886879569065,1.2692012288786483,1.2708333333333333,1.222521137586472,1.3261121856866538,1.296995377503852,1.253374469726186,1.2697495183044316,1.3094599770202988,0.026549524932354077,0.027434421315890727,0.026368646313364053,0.02623945987654321,0.02466983704842429,0.028245145454545456,0.02761678659476117,0.025924616274585425,0.02480686281310212,0.026865007659900422
105,0.7473394448579161,0.8317782901046943,0.7112671409395973,0.8032879260385005,0.745521032594086,0.8252480057549085,0.7824521968981794,0.8049325008414675,0.7590746832884098,0.7155153077952493,9.120000000000001,8.903333333333334,9.286666666666667,9.049999999999999,9.123333333333333,8.933333333333334,9.073333333333334,9.106666666666667,9.093333333333334,9.323333333333332,0.7333333333333333,0.9666666666666666,0.6466666666666667,0.82,0.7966666666666666,0.9133333333333333,0.8133333333333334,0.7966666666666666,0.7999999999999999,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.817203985525897,0.8202882138746419,0.8249113288484684,0.8206597398879505,0.8229577917299256,0.8178771369063838,0.8218047158208093,0.8227086890865132,0.8213820156902232,0.8285049875080261,1.628213802435724,1.5987841945288754,1.5728187919463088,1.6271529888551166,1.5574596774193548,1.6516587677725119,1.5869858395144976,1.554022214742511,1.5980458221024259,1.6400133824021412,0.03244905243572395,0.03335782404593043,0.03249398657718121,0.03383976663289429,0.031195091733870965,0.03431435646580907,0.032942419420094404,0.03115195557051498,0.03199179919137466,0.03379767648042824
120,1.0910586656525707,1.2483185473781049,1.0805343306010928,1.113599908454988,1.1348754074749317,1.2118664039227705,1.171024808562691,1.1086961766312595,1.1153452280487806,1.1204755050167226,9.593333333333334,8.86,9.733333333333334,9.583333333333334,9.383333333333335,9.07,9.296666666666667,9.626666666666667,9.486666666666666,9.44,1.3633333333333333,2.01,1.2466666666666666,1.3766666666666667,1.5866666666666667,1.8066666666666666,1.6033333333333333,1.3566666666666667,1.4466666666666665,1.5233333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9149611119777937,0.9088314832977736,0.9178667699520937,0.9176803029602955,0.9169528569372445,0.9099574719093654,0.9116741551031843,0.9189954321494694,0.9137019710998646,0.9161512089801498,1.973227867356252,1.9515486047224777,1.9089253187613844,1.9562043795620438,1.8969917958067457,1.9877413423230157,1.9712538226299694,1.9128983308042489,1.9496951219512195,1.9969595621769536,0.03921534347429267,0.040951788715118065,0.038488186095932,0.04026900821167883,0.03858795685202066,0.04025500337113087,0.040995450764525994,0.03849465918057663,0.03951992317073171,0.040705058072362424
135,1.8344483215731635,1.9236901398378692,1.8847808263646924,1.9679868399767237,1.8963580069585386,1.8912342570269487,1.8885277373591447,1.894624296060255,1.8703359593731863,1.9226117654213726,7.3933333333333335,7.140000000000001,7.283333333333333,6.846666666666667,7.15,7.1466666666666665,7.140000000000001,7.366666666666667,7.466666666666667,7.1899999999999995,4.133333333333333,4.373333333333334,4.196666666666666,4.61,4.346666666666667,4.3566666666666665,4.3966666666666665,4.140000000000001,4.02,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9691196919584265,0.9683828911051464,0.9661085088599062,0.9629941715703562,0.9675661280548554,0.9684490458170563,0.9705287387224527,0.9686510294065821,0.9669934828833661,0.966632836433958,2.4005205320994794,2.379270411117545,2.3368176538908245,2.416933372126855,2.358944621629458,2.4169805853375834,2.390638543773476,2.35486674391657,2.3929193267556585,2.410947002606429,0.04619528513591672,0.0484701050955414,0.04639145354239257,0.049281282804771606,0.04745571643954769,0.04882683888727905,0.04958090118462872,0.04593570973348783,0.048122378409750435,0.048704148856067185
150,3.0464637099741307,3.128294756686799,3.150179533062645,3.1282661464398966,3.0711911429393157,3.1091672833716917,3.146018434857636,3.165224524538106,3.082822245963091,3.133594757697842,2.69,2.6633333333333336,3.0466666666666664,2.316666666666667,2.7533333333333334,2.8,2.666666666666667,2.8333333333333335,2.6533333333333333,2.63,8.906666666666668,8.926666666666668,8.446666666666667,9.246666666666668,8.836666666666666,8.786666666666667,8.923333333333334,8.713333333333333,8.906666666666668,8.953333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9773737215138525,0.9769724386663081,0.9710875689121569,0.9756773173696228,0.9785954360681642,0.9760591387281732,0.9749078738492398,0.9721297851344484,0.9752736106337512,0.9751515691570983,2.9361885599310145,2.92896174863388,2.9289443155452437,2.9746324589218793,2.8694276675294796,2.9933831990794015,2.974403221167673,2.9304272517321017,2.942329873125721,2.939568345323741,0.05526537711986203,0.05741353724475122,0.056122398491879354,0.05962994004035745,0.056140524590163936,0.05930566081703107,0.06010126488352028,0.056181510681293303,0.05804023904267589,0.05756396633093525
